scenario,operation,provider,model,requestCount,inputTokens,cachedInputTokens,outputTokens,reasoningTokens,embeddingTokens,imageCount,retries,fallbackCalls,unitPrice,costUsd,costBdt,measurementSource,confidence,notes
A_efficient,greeting_regex_fastpath,google,gemini-3.1-flash-lite,0,0,0,0,0,0,0,0,0,0.25in / 1.5out per 1M,0,0,tokenizer_estimate,high,intent-router.service.js:175 — zero model calls
A_efficient,chat_reply_text_efficient,google,gemini-3.1-flash-lite,1,1708,0,45,0,0,0,0,0,0.25in / 1.5out per 1M,0.00049450,0.06102130,tokenizer_estimate,medium,Component sum of countTokens measurements on the real assembled payload
A_efficient,embed_rag_query,local,local-ngram,1,0,0,0,0,6,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,rag.service.queryData → getEmbedding. Costs $0 while EMBEDDING_PROVIDER resolves to the local n-gram fallback.
A_efficient,chat_reply_photo_message_efficient,google,gemini-3.1-flash-lite,1,1754,0,45,0,0,0,0,0,0.25in / 1.5out per 1M,0.00050600,0.06244040,tokenizer_estimate,medium,"Customer sent a photo. AI_VISION_ENABLED is off, so image blocks are stripped before the provider call and the reply is grounded on the caption + DB product search. Zero image tokens, zero extraction call."
A_efficient,chat_reply_text_efficient,google,gemini-3.1-flash-lite,1,1708,0,45,0,0,0,0,0,0.25in / 1.5out per 1M,0.00049450,0.06102130,tokenizer_estimate,medium,Component sum of countTokens measurements on the real assembled payload
A_efficient,embed_rag_query,local,local-ngram,1,0,0,0,0,6,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,rag.service.queryData → getEmbedding. Costs $0 while EMBEDDING_PROVIDER resolves to the local n-gram fallback.
A_efficient,chat_reply_text_efficient,google,gemini-3.1-flash-lite,1,1708,0,45,0,0,0,0,0,0.25in / 1.5out per 1M,0.00049450,0.06102130,tokenizer_estimate,medium,Component sum of countTokens measurements on the real assembled payload
A_efficient,embed_rag_query,local,local-ngram,1,0,0,0,0,6,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,rag.service.queryData → getEmbedding. Costs $0 while EMBEDDING_PROVIDER resolves to the local n-gram fallback.
A_efficient,chat_reply_photo_message_efficient,google,gemini-3.1-flash-lite,1,1754,0,45,0,0,0,0,0,0.25in / 1.5out per 1M,0.00050600,0.06244040,tokenizer_estimate,medium,"Customer sent a photo. AI_VISION_ENABLED is off, so image blocks are stripped before the provider call and the reply is grounded on the caption + DB product search. Zero image tokens, zero extraction call."
A_efficient,chat_reply_faq_branch,google,gemini-3.1-flash-lite,1,1292,0,45,0,0,0,0,0,0.25in / 1.5out per 1M,0.00039050,0.04818770,tokenizer_estimate,high,intent-router.service.js:242 — cheaper than the full path because history and grounding are omitted
A_efficient,chat_reply_faq_branch,google,gemini-3.1-flash-lite,1,1292,0,45,0,0,0,0,0,0.25in / 1.5out per 1M,0.00039050,0.04818770,tokenizer_estimate,high,intent-router.service.js:242 — cheaper than the full path because history and grounding are omitted
A_efficient,chat_reply_photo_message_efficient,google,gemini-3.1-flash-lite,1,1754,0,45,0,0,0,0,0,0.25in / 1.5out per 1M,0.00050600,0.06244040,tokenizer_estimate,medium,"Customer sent a photo. AI_VISION_ENABLED is off, so image blocks are stripped before the provider call and the reply is grounded on the caption + DB product search. Zero image tokens, zero extraction call."
A_efficient,order_flow_deterministic,google,gemini-3.1-flash-lite,0,0,0,0,0,0,0,0,0,0.25in / 1.5out per 1M,0,0,tokenizer_estimate,high,order-flow.service.js step machine — zero model calls
B_expected,greeting_regex_fastpath,google,gemini-3.1-flash-lite,0,0,0,0,0,0,0,0,0,0.25in / 1.5out per 1M,0,0,tokenizer_estimate,high,zero model calls
B_expected,chat_reply_text_expected,google,gemini-3.1-flash-lite,1,2156,0,80,0,0,0,0,0,0.25in / 1.5out per 1M,0.00065900,0.08132060,provider_reported,high,Cross-checked against a real generateContent call: promptTokenCount=2155
B_expected,embed_rag_query,local,local-ngram,1,0,0,0,0,25,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,rag.service.queryData → getEmbedding. Costs $0 while EMBEDDING_PROVIDER resolves to the local n-gram fallback.
B_expected,sentiment_classify,google,gemini-3.1-flash-lite,1,206,0,40,0,0,0,0,0,0.25in / 1.5out per 1M,0.00011150,0.01375910,tokenizer_estimate,medium,message-worker.js:359. Skipped for <=30 chars or any keyword match (sentiment.service.js:183-196)
B_expected,chat_reply_photo_message_expected,google,gemini-3.1-flash-lite,1,2202,0,80,0,0,0,0,0,0.25in / 1.5out per 1M,0.00067050,0.08273970,provider_reported,high,"Customer sent a photo. AI_VISION_ENABLED is off, so image blocks are stripped before the provider call and the reply is grounded on the caption + DB product search. Zero image tokens, zero extraction call."
B_expected,chat_reply_text_expected,google,gemini-3.1-flash-lite,1,2156,0,80,0,0,0,0,0,0.25in / 1.5out per 1M,0.00065900,0.08132060,provider_reported,high,Cross-checked against a real generateContent call: promptTokenCount=2155
B_expected,embed_rag_query,local,local-ngram,1,0,0,0,0,25,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,rag.service.queryData → getEmbedding. Costs $0 while EMBEDDING_PROVIDER resolves to the local n-gram fallback.
B_expected,sentiment_classify,google,gemini-3.1-flash-lite,1,206,0,40,0,0,0,0,0,0.25in / 1.5out per 1M,0.00011150,0.01375910,tokenizer_estimate,medium,message-worker.js:359. Skipped for <=30 chars or any keyword match (sentiment.service.js:183-196)
B_expected,chat_reply_text_expected,google,gemini-3.1-flash-lite,1,2156,0,80,0,0,0,0,0,0.25in / 1.5out per 1M,0.00065900,0.08132060,provider_reported,high,Cross-checked against a real generateContent call: promptTokenCount=2155
B_expected,embed_rag_query,local,local-ngram,1,0,0,0,0,25,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,rag.service.queryData → getEmbedding. Costs $0 while EMBEDDING_PROVIDER resolves to the local n-gram fallback.
B_expected,sentiment_classify,google,gemini-3.1-flash-lite,1,206,0,40,0,0,0,0,0,0.25in / 1.5out per 1M,0.00011150,0.01375910,tokenizer_estimate,medium,message-worker.js:359. Skipped for <=30 chars or any keyword match (sentiment.service.js:183-196)
B_expected,chat_reply_photo_message_expected,google,gemini-3.1-flash-lite,1,2202,0,80,0,0,0,0,0,0.25in / 1.5out per 1M,0.00067050,0.08273970,provider_reported,high,"Customer sent a photo. AI_VISION_ENABLED is off, so image blocks are stripped before the provider call and the reply is grounded on the caption + DB product search. Zero image tokens, zero extraction call."
B_expected,chat_reply_text_expected,google,gemini-3.1-flash-lite,1,2156,0,80,0,0,0,0,0,0.25in / 1.5out per 1M,0.00065900,0.08132060,provider_reported,high,Cross-checked against a real generateContent call: promptTokenCount=2155
B_expected,embed_rag_query,local,local-ngram,1,0,0,0,0,25,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,rag.service.queryData → getEmbedding. Costs $0 while EMBEDDING_PROVIDER resolves to the local n-gram fallback.
B_expected,sentiment_classify,google,gemini-3.1-flash-lite,1,206,0,40,0,0,0,0,0,0.25in / 1.5out per 1M,0.00011150,0.01375910,tokenizer_estimate,medium,message-worker.js:359. Skipped for <=30 chars or any keyword match (sentiment.service.js:183-196)
B_expected,chat_reply_faq_branch,google,gemini-3.1-flash-lite,1,1292,0,45,0,0,0,0,0,0.25in / 1.5out per 1M,0.00039050,0.04818770,tokenizer_estimate,high,intent-router.service.js:242 — cheaper than the full path because history and grounding are omitted
B_expected,chat_reply_photo_message_expected,google,gemini-3.1-flash-lite,1,2202,0,80,0,0,0,0,0,0.25in / 1.5out per 1M,0.00067050,0.08273970,provider_reported,high,"Customer sent a photo. AI_VISION_ENABLED is off, so image blocks are stripped before the provider call and the reply is grounded on the caption + DB product search. Zero image tokens, zero extraction call."
B_expected,chat_reply_customer_rephrase,google,gemini-3.1-flash-lite,1,2156,0,80,0,0,0,1,0,0.25in / 1.5out per 1M,0.00065900,0.08132060,provider_reported,high,Customer rephrases after an unhelpful answer — a second full-price turn on the same question. NOTE: there is no regenerate button in the product; this models the real-world equivalent.
B_expected,order_flow_deterministic,google,gemini-3.1-flash-lite,0,0,0,0,0,0,0,0,0,0.25in / 1.5out per 1M,0,0,tokenizer_estimate,high,zero model calls
C_heavy,chat_reply_text_heavy,google,gemini-3.1-flash-lite,1,2238,0,130,0,0,0,0,0,0.25in / 1.5out per 1M,0.00075450,0.09310530,tokenizer_estimate,medium,Component sum of countTokens measurements on the real assembled payload
C_heavy,embed_rag_query,local,local-ngram,1,0,0,0,0,25,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,rag.service.queryData → getEmbedding. Costs $0 while EMBEDDING_PROVIDER resolves to the local n-gram fallback.
C_heavy,sentiment_classify,google,gemini-3.1-flash-lite,1,240,0,40,0,0,0,0,0,0.25in / 1.5out per 1M,0.00012000,0.01480800,tokenizer_estimate,medium,message-worker.js:359. Skipped for <=30 chars or any keyword match (sentiment.service.js:183-196)
C_heavy,chat_reply_photo_message_heavy,google,gemini-3.1-flash-lite,1,2284,0,130,0,0,0,0,0,0.25in / 1.5out per 1M,0.00076600,0.09452440,tokenizer_estimate,medium,"Customer sent a photo. AI_VISION_ENABLED is off, so image blocks are stripped before the provider call and the reply is grounded on the caption + DB product search. Zero image tokens, zero extraction call."
C_heavy,chat_reply_text_heavy,google,gemini-3.1-flash-lite,1,2238,0,130,0,0,0,0,0,0.25in / 1.5out per 1M,0.00075450,0.09310530,tokenizer_estimate,medium,Component sum of countTokens measurements on the real assembled payload
C_heavy,embed_rag_query,local,local-ngram,1,0,0,0,0,25,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,rag.service.queryData → getEmbedding. Costs $0 while EMBEDDING_PROVIDER resolves to the local n-gram fallback.
C_heavy,sentiment_classify,google,gemini-3.1-flash-lite,1,240,0,40,0,0,0,0,0,0.25in / 1.5out per 1M,0.00012000,0.01480800,tokenizer_estimate,medium,message-worker.js:359. Skipped for <=30 chars or any keyword match (sentiment.service.js:183-196)
C_heavy,chat_reply_text_heavy_FALLBACK_openai,openai,gpt-4.1-mini,1,2238,0,130,0,0,0,0,1,0.4in / 1.6out per 1M,0.00110320,0.13613488,tokenizer_estimate,medium,"gemini-lite returned 5xx (unbilled) and llm.service fell back to gpt-4.1-mini — 1.6x input, 1.07x output vs the primary. Cold cache assumed; a warm OpenAI prompt cache makes this CHEAPER than the primary."
C_heavy,embed_rag_query,local,local-ngram,1,0,0,0,0,25,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,rag.service.queryData → getEmbedding. Costs $0 while EMBEDDING_PROVIDER resolves to the local n-gram fallback.
C_heavy,sentiment_classify,google,gemini-3.1-flash-lite,1,240,0,40,0,0,0,0,0,0.25in / 1.5out per 1M,0.00012000,0.01480800,tokenizer_estimate,medium,message-worker.js:359. Skipped for <=30 chars or any keyword match (sentiment.service.js:183-196)
C_heavy,chat_reply_photo_message_heavy,google,gemini-3.1-flash-lite,1,2284,0,130,0,0,0,0,0,0.25in / 1.5out per 1M,0.00076600,0.09452440,tokenizer_estimate,medium,"Customer sent a photo. AI_VISION_ENABLED is off, so image blocks are stripped before the provider call and the reply is grounded on the caption + DB product search. Zero image tokens, zero extraction call."
C_heavy,chat_reply_text_heavy,google,gemini-3.1-flash-lite,1,2238,0,130,0,0,0,0,0,0.25in / 1.5out per 1M,0.00075450,0.09310530,tokenizer_estimate,medium,Component sum of countTokens measurements on the real assembled payload
C_heavy,embed_rag_query,local,local-ngram,1,0,0,0,0,25,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,rag.service.queryData → getEmbedding. Costs $0 while EMBEDDING_PROVIDER resolves to the local n-gram fallback.
C_heavy,sentiment_classify,google,gemini-3.1-flash-lite,1,240,0,40,0,0,0,0,0,0.25in / 1.5out per 1M,0.00012000,0.01480800,tokenizer_estimate,medium,message-worker.js:359. Skipped for <=30 chars or any keyword match (sentiment.service.js:183-196)
C_heavy,chat_reply_photo_message_heavy,google,gemini-3.1-flash-lite,1,2284,0,130,0,0,0,0,0,0.25in / 1.5out per 1M,0.00076600,0.09452440,tokenizer_estimate,medium,"Customer sent a photo. AI_VISION_ENABLED is off, so image blocks are stripped before the provider call and the reply is grounded on the caption + DB product search. Zero image tokens, zero extraction call."
C_heavy,chat_reply_faq_branch,google,gemini-3.1-flash-lite,1,1292,0,45,0,0,0,0,0,0.25in / 1.5out per 1M,0.00039050,0.04818770,tokenizer_estimate,high,intent-router.service.js:242 — cheaper than the full path because history and grounding are omitted
C_heavy,chat_reply_customer_rephrase,google,gemini-3.1-flash-lite,1,2238,0,130,0,0,0,1,0,0.25in / 1.5out per 1M,0.00075450,0.09310530,tokenizer_estimate,medium,Customer rephrases after an unhelpful answer — a second full-price turn
C_heavy,duplicate_webhook_deduped,google,gemini-3.1-flash-lite,0,0,0,0,0,0,0,1,0,0.25in / 1.5out per 1M,0,0,tokenizer_estimate,high,message-worker.js:292 claims the dedup key BEFORE any AI call — a redelivery costs $0
C_heavy,order_flow_deterministic,google,gemini-3.1-flash-lite,0,0,0,0,0,0,0,0,0,0.25in / 1.5out per 1M,0,0,tokenizer_estimate,high,zero model calls
MSG_normal,chat_reply_text_expected,google,gemini-3.1-flash-lite,1,2156,0,80,0,0,0,0,0,0.25in / 1.5out per 1M,0.00065900,0.08132060,provider_reported,high,Cross-checked against a real generateContent call: promptTokenCount=2155
MSG_normal,embed_rag_query,local,local-ngram,1,0,0,0,0,25,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,rag.service.queryData → getEmbedding. Costs $0 while EMBEDDING_PROVIDER resolves to the local n-gram fallback.
MSG_normal,sentiment_classify,google,gemini-3.1-flash-lite,1,206,0,40,0,0,0,0,0,0.25in / 1.5out per 1M,0.00011150,0.01375910,tokenizer_estimate,medium,message-worker.js:359. Skipped for <=30 chars or any keyword match (sentiment.service.js:183-196)
MSG_normal_no_sentiment,chat_reply_text_efficient,google,gemini-3.1-flash-lite,1,1708,0,45,0,0,0,0,0,0.25in / 1.5out per 1M,0.00049450,0.06102130,tokenizer_estimate,medium,Component sum of countTokens measurements on the real assembled payload
MSG_normal_no_sentiment,embed_rag_query,local,local-ngram,1,0,0,0,0,6,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,rag.service.queryData → getEmbedding. Costs $0 while EMBEDDING_PROVIDER resolves to the local n-gram fallback.
MSG_faq_branch,chat_reply_faq_branch,google,gemini-3.1-flash-lite,1,1292,0,45,0,0,0,0,0,0.25in / 1.5out per 1M,0.00039050,0.04818770,tokenizer_estimate,high,intent-router.service.js:242 — cheaper than the full path because history and grounding are omitted
MSG_greeting,greeting_regex_fastpath,google,gemini-3.1-flash-lite,0,0,0,0,0,0,0,0,0,0.25in / 1.5out per 1M,0,0,tokenizer_estimate,high,zero model calls
MSG_image,chat_reply_photo_message_expected,google,gemini-3.1-flash-lite,1,2202,0,80,0,0,0,0,0,0.25in / 1.5out per 1M,0.00067050,0.08273970,provider_reported,high,"Customer sent a photo. AI_VISION_ENABLED is off, so image blocks are stripped before the provider call and the reply is grounded on the caption + DB product search. Zero image tokens, zero extraction call."
MSG_image,sentiment_classify,google,gemini-3.1-flash-lite,1,206,0,40,0,0,0,0,0,0.25in / 1.5out per 1M,0.00011150,0.01375910,tokenizer_estimate,medium,message-worker.js:359. Skipped for <=30 chars or any keyword match (sentiment.service.js:183-196)
MSG_fallback_pro,chat_reply_text_expected_FALLBACK_pro,google,gemini-3.1-pro-preview,1,2156,0,80,0,0,0,0,1,2in / 12out per 1M,0.00527200,0.65056480,provider_reported,high,Cross-checked against a real generateContent call: promptTokenCount=2155
MSG_fallback_pro,embed_rag_query,local,local-ngram,1,0,0,0,0,25,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,rag.service.queryData → getEmbedding. Costs $0 while EMBEDDING_PROVIDER resolves to the local n-gram fallback.
MSG_fallback_pro,sentiment_classify,google,gemini-3.1-flash-lite,1,206,0,40,0,0,0,0,0,0.25in / 1.5out per 1M,0.00011150,0.01375910,tokenizer_estimate,medium,message-worker.js:359. Skipped for <=30 chars or any keyword match (sentiment.service.js:183-196)
MSG_fallback_openai,chat_reply_text_expected_FALLBACK_openai,openai,gpt-4.1-mini,1,2125,0,80,0,0,0,0,2,0.4in / 1.6out per 1M,0.00097800,0.12068520,provider_reported,high,"Measured prompt_tokens=2125, cached_tokens=0 on a real gpt-4.1-mini call"
MSG_fallback_openai,embed_rag_query,local,local-ngram,1,0,0,0,0,25,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,rag.service.queryData → getEmbedding. Costs $0 while EMBEDDING_PROVIDER resolves to the local n-gram fallback.
MSG_fallback_openai,sentiment_classify,google,gemini-3.1-flash-lite,1,206,0,40,0,0,0,0,0,0.25in / 1.5out per 1M,0.00011150,0.01375910,tokenizer_estimate,medium,message-worker.js:359. Skipped for <=30 chars or any keyword match (sentiment.service.js:183-196)
MSG_worst_retry_path,chat_reply_lite_billed_then_client_timeout,google,gemini-3.1-flash-lite,1,2238,0,130,0,0,0,0,0,0.25in / 1.5out per 1M,0.00075450,0.09310530,tokenizer_estimate,medium,"Server completed and billed; the 30s client AbortSignal fired first, so llm.service treated it as a failure"
MSG_worst_retry_path,chat_reply_pro_billed_then_timeout,google,gemini-3.1-pro-preview,1,2238,0,130,0,0,0,0,1,2in / 12out per 1M,0.00603600,0.74484240,tokenizer_estimate,medium,Component sum of countTokens measurements on the real assembled payload
MSG_worst_retry_path,chat_reply_openai_final,openai,gpt-4.1-mini,1,2125,0,130,0,0,0,0,2,0.4in / 1.6out per 1M,0.00105800,0.13055720,provider_reported,medium,
MSG_worst_retry_path,embed_rag_query,local,local-ngram,1,0,0,0,0,25,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,rag.service.queryData → getEmbedding. Costs $0 while EMBEDDING_PROVIDER resolves to the local n-gram fallback.
MSG_worst_retry_path,sentiment_classify,google,gemini-3.1-flash-lite,1,240,0,40,0,0,0,0,0,0.25in / 1.5out per 1M,0.00012000,0.01480800,tokenizer_estimate,medium,message-worker.js:359. Skipped for <=30 chars or any keyword match (sentiment.service.js:183-196)
PROD_upload_asbuilt,embed_product_doc,local,local-ngram,1,0,0,0,0,106,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,"One embedding for the whole product. No chunking, no overlap (product-embedding.service.buildEmbeddingText)"
PROD_upload_5img_intended,vision_product_attrs_1080x1440,openai,gpt-4.1-mini,1,2702,0,180,0,0,1,0,0,0.4in / 1.6out per 1M,0.00136880,0.16890992,provider_reported,high,"product-ai.service.js:66 forces preferredProvider:""openai"". Only images[0] is analysed — images 2-5 are never sent to any model."
PROD_upload_5img_intended,embed_product_doc,local,local-ngram,1,0,0,0,0,106,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,"One embedding for the whole product. No chunking, no overlap (product-embedding.service.buildEmbeddingText)"
PROD_upload_5img_compressed,vision_product_attrs_512,openai,gpt-4.1-mini,1,638,0,180,0,0,1,0,0,0.4in / 1.6out per 1M,0.00054320,0.06703088,provider_reported,high,"product-ai.service.js:66 forces preferredProvider:""openai"". Only images[0] is analysed — images 2-5 are never sent to any model."
PROD_upload_5img_compressed,embed_product_doc,local,local-ngram,1,0,0,0,0,106,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,"One embedding for the whole product. No chunking, no overlap (product-embedding.service.buildEmbeddingText)"
PROD_edit_text_only,embed_product_doc,local,local-ngram,1,0,0,0,0,106,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,"One embedding for the whole product. No chunking, no overlap (product-embedding.service.buildEmbeddingText)"
PROD_edit_single_field,embed_product_doc,local,local-ngram,1,0,0,0,0,106,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,"One embedding for the whole product. No chunking, no overlap (product-embedding.service.buildEmbeddingText)"
PROD_replace_one_image,vision_product_attrs_1080x1440,openai,gpt-4.1-mini,1,2702,0,180,0,0,1,0,0,0.4in / 1.6out per 1M,0.00136880,0.16890992,provider_reported,high,"product-ai.service.js:66 forces preferredProvider:""openai"". Only images[0] is analysed — images 2-5 are never sent to any model."
PROD_replace_one_image,embed_product_doc,local,local-ngram,1,0,0,0,0,106,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,"One embedding for the whole product. No chunking, no overlap (product-embedding.service.buildEmbeddingText)"
PROD_replace_all_images,vision_product_attrs_1080x1440,openai,gpt-4.1-mini,1,2702,0,180,0,0,1,0,0,0.4in / 1.6out per 1M,0.00136880,0.16890992,provider_reported,high,"product-ai.service.js:66 forces preferredProvider:""openai"". Only images[0] is analysed — images 2-5 are never sent to any model."
PROD_replace_all_images,embed_product_doc,local,local-ngram,1,0,0,0,0,106,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,"One embedding for the whole product. No chunking, no overlap (product-embedding.service.buildEmbeddingText)"
PROD_delete_recreate,vision_product_attrs_1080x1440,openai,gpt-4.1-mini,1,2702,0,180,0,0,1,0,0,0.4in / 1.6out per 1M,0.00136880,0.16890992,provider_reported,high,"product-ai.service.js:66 forces preferredProvider:""openai"". Only images[0] is analysed — images 2-5 are never sent to any model."
PROD_delete_recreate,embed_product_doc,local,local-ngram,1,0,0,0,0,106,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,"One embedding for the whole product. No chunking, no overlap (product-embedding.service.buildEmbeddingText)"
PROD_full_reindex_200,embed_products_x200,local,local-ngram,200,0,0,0,0,21200,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,
PROD_full_reindex_200,embed_faqs_x12,local,local-ngram,12,0,0,0,0,720,0,0,0,0/1M embed,0,0,tokenizer_estimate,high,
